a/g,ax,ay,az,gx,gy,gz
-28,-10,16402,53,-8,12
-12,-40,16574,46,2,14
-54,-34,16496,37,11,5
-74,10,16594,45,15,10
12,-18,16372,55,9,14
-14,-34,16402,50,-6,-10
-4,20,16402,39,15,19
-20,-56,16430,40,9,-3
-50,-16,16428,51,2,16
-44,-24,16370,45,8,13
46,-78,16456,28,14,6
60,12,16380,52,2,8
-30,18,16472,33,-2,-4
36,-64,16364,47,-2,-8
-20,-60,16382,56,4,7
-136,-72,16446,49,-1,-8
48,-30,16492,47,0,14
-62,-20,16298,44,13,21
-90,12,16428,42,19,12
2,-24,16370,38,13,-12
-10,-6,16338,60,4,4
-56,-38,16500,57,-3,3
-28,-42,16456,47,-5,2
-14,12,16424,61,4,18
-28,-30,16336,50,18,8
-52,-68,16226,47,2,7
4,-32,16426,37,-4,5
-16,-10,16522,35,-4,7
-92,-8,16376,45,-7,2
-6,-44,16638,61,15,5
32,-24,16440,43,6,-6
-104,-4,16416,55,9,12
-48,34,16430,49,14,-14
-50,4,16344,53,3,14
-112,-76,16200,51,31,-7
-58,-30,16378,52,1,3
-48,-10,16398,52,3,12
-8,38,16422,39,-9,11
-44,40,16342,45,11,7
34,-88,16438,43,5,2
38,76,16326,55,21,-10
-84,-56,16296,58,15,0
46,-92,16458,53,8,-14
-62,42,16416,47,-9,1
-14,10,16294,56,2,1
-50,-44,16340,38,9,3
18,-6,16402,48,13,0
-24,20,16588,38,-16,9
-28,24,16278,32,-3,3
